name,netid,department,fingerprints,projects,research,citations,h_index,similar,picture,URL,classes
Mohamed S. Abou Donia,donia,CBE,"[['Microbiota', '100%'], ['Biological Products', '98%'], ['cyanobactins', '97%'], ['Urochordata', '79%'], ['Occurrence in Nature', '60%'], ['Gastrointestinal Microbiome', '55%'], ['Multigene Family', '47%'], ['Metagenomics', '45%']]","[['Investigating the Impact of the Human Gut Microbiome on the Metabolism of Oral Chemotherapeutic Drugs', 'https://collaborate.princeton.edu/en/projects/investigating-the-impact-of-the-human-gut-microbiome-on-the-metab'], ['Uncultivated Bacterial Symbionts of Humans: An Untapped Resource for Drug Discovery', 'https://collaborate.princeton.edu/en/projects/uncultivated-bacterial-symbionts-of-humans-an-untapped-resource-f']]","[['Modeling the ecology of parasitic plasmids', 'https://collaborate.princeton.edu/en/publications/modeling-the-ecology-of-parasitic-plasmids'], ['Pseudomonas aeruginosa detachment from surfaces via a self-made small molecule', 'https://collaborate.princeton.edu/en/publications/pseudomonas-aeruginosa-detachment-from-surfaces-via-a-self-made-s'], ['A cutibacterium acnes antibiotic modulates human skin microbiota composition in hair follicles', 'https://collaborate.princeton.edu/en/publications/a-cutibacterium-acnes-antibiotic-modulates-human-skin-microbiota-'], ['A Metabolic Pathway for Activation of Dietary Glucosinolates by a Human Gut Symbiont', 'https://collaborate.princeton.edu/en/publications/a-metabolic-pathway-for-activation-of-dietary-glucosinolates-by-a'], ['Correction to: Molecular networking based LC/MS reveals novel biotransformation products of green coffee by ex vivo cultures of the human gut microbiome (Metabolomics, (2020), 16, 8, (86), 10.1007/s11306-020-01704-z)', 'https://collaborate.princeton.edu/en/publications/correction-to-molecular-networking-based-lcms-reveals-novel-biotr']]",3296,24,"[['Zemer Gitai', 'https://collaborate.princeton.edu/en/persons/zemer-gitai'], ['Ned S. Wingreen', 'https://collaborate.princeton.edu/en/persons/ned-s-wingreen'], ['Pierre-Thomas Brun', 'https://collaborate.princeton.edu/en/persons/pierre-thomas-brun'], ['Jared E. Toettcher', 'https://collaborate.princeton.edu/en/persons/jared-e-toettcher'], ['Jodi Schottenfeld-Roames', 'https://collaborate.princeton.edu/en/persons/jodi-schottenfeld-roames'], ['Tom Muir', 'https://collaborate.princeton.edu/en/persons/tom-muir']]",https://collaborate.princeton.edu//files-asset/48141360/Abou_Donia.jpg,https://collaborate.princeton.edu/en/persons/mohamed-s-abou-donia,"['MOL 290', 'MOL 518', 'MOL 342']"
Ryan P. Adams,rpa,COS,"[['Markov chains', '100%'], ['Time series', '68%'], ['Neural networks', '61%'], ['Machine learning', '57%'], ['Sampling', '44%'], ['Patient monitoring', '38%'], ['Statistical Models', '38%'], ['Blood pressure', '36%']]","[['RI: Small: Accelerating Machine Learning via Randomized Automatic Differentiation', 'https://collaborate.princeton.edu/en/projects/ri-small-accelerating-machine-learning-via-randomized-automatic-d'], ['RI: Small: Parallel Markov Chain Monte Carlo Methods for Scalable Bayesian Inference', 'https://collaborate.princeton.edu/en/projects/ri-small-parallel-markov-chain-monte-carlo-methods-for-scalable-b']]","[['Bayesian reaction optimization as a tool for chemical synthesis', 'https://collaborate.princeton.edu/en/publications/bayesian-reaction-optimization-as-a-tool-for-chemical-synthesis'], ['A data-driven computational scheme for the nonlinear mechanical properties of cellular mechanical metamaterials under large deformation', 'https://collaborate.princeton.edu/en/publications/a-data-driven-computational-scheme-for-the-nonlinear-mechanical-p'], ['Learning composable energy surrogates for PDE order reduction', 'https://collaborate.princeton.edu/en/publications/learning-composable-energy-surrogates-for-pde-order-reduction'], ['On warm-starting neural network training', 'https://collaborate.princeton.edu/en/publications/on-warm-starting-neural-network-training']]",7938,31,"[['Sigrid M. Adriaenssens', 'https://collaborate.princeton.edu/en/persons/sigrid-m-adriaenssens'], ['Jonathan William Pillow', 'https://collaborate.princeton.edu/en/persons/jonathan-william-pillow'], ['Peter Jeffrey Ramadge', 'https://collaborate.princeton.edu/en/persons/peter-jeffrey-ramadge'], ['Alan Kaplan', 'https://collaborate.princeton.edu/en/persons/alan-kaplan'], ['Anirudha Majumdar', 'https://collaborate.princeton.edu/en/persons/anirudha-majumdar'], ['Matt Weinberg', 'https://collaborate.princeton.edu/en/persons/matt-weinberg']]",https://collaborate.princeton.edu//files-asset/48142153/Adams.jpg,https://collaborate.princeton.edu/en/persons/ryan-p-adams,['COS 302']
Brittany Adamson,badamson,MOL,"[['Clustered Regularly Interspaced Short Palindromic Repeats', '100%'], ['Genome', '63%'], ['Chromatin', '45%'], ['DNA Damage', '44%'], ['Open Reading Frames', '42%'], ['Guide RNA', '41%'], ['DNA', '38%'], ['Poly(ADP-ribose) Polymerases', '35%']]","[['Mapping the DNA damage response in human cells with high-resolution functional genomics', 'https://collaborate.princeton.edu/en/projects/mapping-the-dna-damage-response-in-human-cells-with-high-resoluti']]","[['Combinatorial single-cell CRISPR screens by direct guide RNA capture and targeted sequencing', 'https://collaborate.princeton.edu/en/publications/combinatorial-single-cell-crispr-screens-by-direct-guide-rna-capt'], ['Pervasive functional translation of noncanonical human open reading frames', 'https://collaborate.princeton.edu/en/publications/pervasive-functional-translation-of-noncanonical-human-open-readi'], ['Pervasive functional translation of noncanonical human open reading frames', 'https://collaborate.princeton.edu/en/publications/pervasive-functional-translation-of-noncanonical-human-open-readi-3'], ['Pervasive functional translation of noncanonical human open reading frames', 'https://collaborate.princeton.edu/en/publications/pervasive-functional-translation-of-noncanonical-human-open-readi-2'], ['Prime Editing: Precision Genome Editing by Reverse Transcription', 'https://collaborate.princeton.edu/en/publications/prime-editing-precision-genome-editing-by-reverse-transcription']]",3534,16,"[['Yuri Pritykin', 'https://collaborate.princeton.edu/en/persons/yuri-pritykin'], ['Joshua Akey', 'https://collaborate.princeton.edu/en/persons/joshua-akey'], ['Michelle M. W. Chan', 'https://collaborate.princeton.edu/en/persons/michelle-m-w-chan'], ['Curtis Gove Callan', 'https://collaborate.princeton.edu/en/persons/curtis-gove-callan'], ['Jared E. Toettcher', 'https://collaborate.princeton.edu/en/persons/jared-e-toettcher'], ['Corina E. Tarnita', 'https://collaborate.princeton.edu/en/persons/corina-e-tarnita']]",https://collaborate.princeton.edu//files-asset/48142165/Adamson.jpg,https://collaborate.princeton.edu/en/persons/britt-adamson,['QCB 302']
Sigrid M. Adriaenssens,sadriaen,CEE,"[['Arches', '100%'], ['Footbridges', '92%'], ['Relaxation', '85%'], ['Form-finding', '79%'], ['Shape optimization', '76%'], ['Shell', '67%'], ['Membranes', '66%'], ['Structural optimization', '52%']]","[['Adaptive Building Skin to Enhance Interior of Buildings', 'https://collaborate.princeton.edu/en/projects/adaptive-building-skin-to-enhance-interior-of-buildings']]","[['A new finite element level set reinitialization method based on the shifted boundary method', 'https://collaborate.princeton.edu/en/publications/a-new-finite-element-level-set-reinitialization-method-based-on-t'], ['Numerical modeling of static equilibria and bifurcations in bigons and bigon rings', 'https://collaborate.princeton.edu/en/publications/numerical-modeling-of-static-equilibria-and-bifurcations-in-bigon'], ['A 3-dimensional elastic beam model for form-finding of bending-active gridshells', 'https://collaborate.princeton.edu/en/publications/a-3-dimensional-elastic-beam-model-for-form-finding-of-bending-ac'], ['A data-driven computational scheme for the nonlinear mechanical properties of cellular mechanical metamaterials under large deformation', 'https://collaborate.princeton.edu/en/publications/a-data-driven-computational-scheme-for-the-nonlinear-mechanical-p'], ['Adjoint optimization of pressurized membrane structures using automatic differentiation tools', 'https://collaborate.princeton.edu/en/publications/adjoint-optimization-of-pressurized-membrane-structures-using-aut']]",1021,17,"[['Branko Glisic', 'https://collaborate.princeton.edu/en/persons/branko-glisic'], ['Maria Eugenia Moreyra Garlock', 'https://collaborate.princeton.edu/en/persons/maria-eugenia-moreyra-garlock'], ['Ryan P. Adams', 'https://collaborate.princeton.edu/en/persons/ryan-p-adams'], ['Guy J.P. Nordenson', 'https://collaborate.princeton.edu/en/persons/guy-jp-nordenson'], ['Forrest Michael Meggers', 'https://collaborate.princeton.edu/en/persons/forrest-michael-meggers'], ['Luc Deike', 'https://collaborate.princeton.edu/en/persons/luc-deike']]",https://collaborate.princeton.edu//files-asset/48142177/Adriaenssens.png?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/sigrid-m-adriaenssens,"['STC 209B', 'VIS 418', 'CEE 205', 'STC 209A', 'CEE 519']"
Mark A. Aguiar,maguiar,ECO,"[['Sovereign Debt', '100%'], ['Debt', '53%'], ['Life Cycle', '47%'], ['Allocation of Time', '37%'], ['Home Production', '34%'], ['Expenditure', '33%'], ['Market Work', '32%'], ['Leisure', '31%']]",[],"[['Leisure luxuries and the labor supply of young men', 'https://collaborate.princeton.edu/en/publications/leisure-luxuries-and-the-labor-supply-of-young-men'], ['On the Welfare Losses from External Sovereign Borrowing', 'https://collaborate.princeton.edu/en/publications/on-the-welfare-losses-from-external-sovereign-borrowing'], ['Self-Fulfilling Debt Dilution: Maturity and Multiplicity in Debt Models', 'https://collaborate.princeton.edu/en/publications/self-fulfilling-debt-dilution-maturity-and-multiplicity-in-debt-m'], ['A contraction for sovereign debt models', 'https://collaborate.princeton.edu/en/publications/a-contraction-for-sovereign-debt-models'], ['Take the Short Route: Equilibrium Default and Debt Maturity', 'https://collaborate.princeton.edu/en/publications/take-the-short-route-equilibrium-default-and-debt-maturity']]",2291,16,"[['Pablo D. Fajgelbaum', 'https://collaborate.princeton.edu/en/persons/pablo-d-fajgelbaum'], ['Matt Weinberg', 'https://collaborate.princeton.edu/en/persons/matt-weinberg'], ['Caio Ibsen Rodrigues de Almeida', 'https://collaborate.princeton.edu/en/persons/caio-ibsen-rodrigues-de-almeida'], ['Nicholas Wyeth Buchholz', 'https://collaborate.princeton.edu/en/persons/nicholas-wyeth-buchholz'], ['Arlene Wong', 'https://collaborate.princeton.edu/en/persons/arlene-wong'], ['Christopher A. Neilson', 'https://collaborate.princeton.edu/en/persons/christopher-a-neilson']]",https://collaborate.princeton.edu//files-asset/48142189/Aguiar.jpg,https://collaborate.princeton.edu/en/persons/mark-a-aguiar,[]
Amir Ali Ahmadi,aaa,MAE,"[['Polynomials', '100%'], ['Lyapunov functions', '86%'], ['Sum of squares', '53%'], ['Polynomial', '37%'], ['Lyapunov Function', '37%'], ['Joint Spectral Radius', '29%'], ['Convexity', '27%'], ['Optimization', '26%']]","[['Exploiting Geometry in the Design of Scalable Algebraic Relaxations for Nonconvex Polynomial Optimization', 'https://collaborate.princeton.edu/en/projects/exploiting-geometry-in-the-design-of-scalable-algebraic-relaxatio'], ['CAREER: Polynomial Optimization and Dynamical Systems', 'https://collaborate.princeton.edu/en/projects/career-polynomial-optimization-and-dynamical-systems'], ['Scalable Algorithms with Formal Guarantees for Lyapunov Analysis of Control Systems via Algebraic Optimization', 'https://collaborate.princeton.edu/en/projects/scalable-algorithms-with-formal-guarantees-for-lyapunov-analysis-']]","[['On Algebraic Proofs of Stability for Homogeneous Vector Fields', 'https://collaborate.princeton.edu/en/publications/on-algebraic-proofs-of-stability-for-homogeneous-vector-fields'], ['On the complexity of detecting convexity over a box', 'https://collaborate.princeton.edu/en/publications/on-the-complexity-of-detecting-convexity-over-a-box'], ['On the complexity of testing attainment of the optimal value in nonlinear optimization', 'https://collaborate.princeton.edu/en/publications/on-the-complexity-of-testing-attainment-of-the-optimal-value-in-n'], ['DSOS and SDSOS optimization: More tractable alternatives to sum of squares and semidefinite optimization', 'https://collaborate.princeton.edu/en/publications/dsos-and-sdsos-optimization-more-tractable-alternatives-to-sum-of'], ['On the construction of converging hierarchies for polynomial optimization based on certificates of global positivity', 'https://collaborate.princeton.edu/en/publications/on-the-construction-of-converging-hierarchies-for-polynomial-opti']]",745,14,"[['Anirudha Majumdar', 'https://collaborate.princeton.edu/en/persons/anirudha-majumdar'], ['Bartolomeo Stellato', 'https://collaborate.princeton.edu/en/persons/bartolomeo-stellato'], ['Ryan P. Adams', 'https://collaborate.princeton.edu/en/persons/ryan-p-adams'], ['Elie R. Bou-Zeid', 'https://collaborate.princeton.edu/en/persons/elie-r-bou-zeid'], ['Ludovic Tangpi', 'https://collaborate.princeton.edu/en/persons/ludovic-tangpi-ndounkeu'], ['Jianqing Fan', 'https://collaborate.princeton.edu/en/persons/jianqing-fan']]",https://collaborate.princeton.edu//files-asset/48142201/Ahmadi.jpg,https://collaborate.princeton.edu/en/persons/amir-ali-ahmadi,[]
Yacine Ait-Sahalia,yacine,ECO,"[['Jump', '100%'], ['Estimator', '63%'], ['Continuous-time Model', '59%'], ['Market Microstructure Noise', '56%'], ['High-frequency Data', '51%'], ['Maximum Likelihood Estimation', '39%'], ['Continuous Time', '39%'], ['Investors', '27%']]","[['Specification Analysis of Continuous-Time Models', 'https://collaborate.princeton.edu/en/projects/specification-analysis-of-continuous-time-models']]","[['Closed-form implied volatility surfaces for stochastic volatility models with jumps', 'https://collaborate.princeton.edu/en/publications/closed-form-implied-volatility-surfaces-for-stochastic-volatility'], ['Implied Stochastic Volatility Models', 'https://collaborate.princeton.edu/en/publications/implied-stochastic-volatility-models'], ['From tick data to semimartingales', 'https://collaborate.princeton.edu/en/publications/from-tick-data-to-semimartingales'], ['High-frequency factor models and regressions', 'https://collaborate.princeton.edu/en/publications/high-frequency-factor-models-and-regressions'], ['High frequency traders and the price process', 'https://collaborate.princeton.edu/en/publications/high-frequency-traders-and-the-price-process']]",7092,40,"[['Jianqing Fan', 'https://collaborate.princeton.edu/en/persons/jianqing-fan'], ['Motohiro Yogo', 'https://collaborate.princeton.edu/en/persons/motohiro-yogo'], ['Pablo D. Fajgelbaum', 'https://collaborate.princeton.edu/en/persons/pablo-d-fajgelbaum'], ['Anirudha Majumdar', 'https://collaborate.princeton.edu/en/persons/anirudha-majumdar'], ['Matt Weinberg', 'https://collaborate.princeton.edu/en/persons/matt-weinberg'], ['Caio Ibsen Rodrigues de Almeida', 'https://collaborate.princeton.edu/en/persons/caio-ibsen-rodrigues-de-almeida']]",https://collaborate.princeton.edu//files-asset/48142214/Ait_Sahalia.jpg,https://collaborate.princeton.edu/en/persons/yacine-ait-sahalia,"['FIN 521', 'ECO 466', 'ECO 525']"
Michael Aizenman,aizenman,MAT,"[['Ising model', '100%'], ['Ising Model', '93%'], ['Random Operators', '80%'], ['Disorder', '74%'], ['disorders', '69%'], ['operators', '56%'], ['Ising', '50%'], ['Random Potential', '48%']]","[['Critical Phenomena and Disorder Effects', 'https://collaborate.princeton.edu/en/projects/critical-phenomena-and-disorder-effects'], ['Topics in the Spectral Theory of Random Operators and in Statistical Mechanics', 'https://collaborate.princeton.edu/en/projects/topics-in-the-spectral-theory-of-random-operators-and-in-statisti'], ['Fluctuations, Resonances, and Critical Phenomena', 'https://collaborate.princeton.edu/en/projects/fluctuations-resonances-and-critical-phenomena']]","[['Dimerization and Néel Order in Different Quantum Spin Chains Through a Shared Loop Representation', 'https://collaborate.princeton.edu/en/publications/dimerization-and-n%C3%A9el-order-in-different-quantum-spin-chains-thro'], ['Exponential Decay of Correlations in the 2D Random Field Ising Model', 'https://collaborate.princeton.edu/en/publications/exponential-decay-of-correlations-in-the-2d-random-field-ising-mo'], ['Introduction to the Special Issue in Honor of Joel Lebowitz', 'https://collaborate.princeton.edu/en/publications/introduction-to-the-special-issue-in-honor-of-joel-lebowitz'], ['A Power-Law Upper Bound on the Correlations in the 2D Random Field Ising Model', 'https://collaborate.princeton.edu/en/publications/a-power-law-upper-bound-on-the-correlations-in-the-2d-random-fiel'], ['Emergent planarity in two-dimensional Ising models with finite-range Interactions', 'https://collaborate.princeton.edu/en/publications/emergent-planarity-in-two-dimensional-ising-models-with-finite-ra']]",6024,42,"[['Peter Clive Sarnak', 'https://collaborate.princeton.edu/en/persons/peter-clive-sarnak'], ['Curtis Gove Callan', 'https://collaborate.princeton.edu/en/persons/curtis-gove-callan'], ['Chenyang Xu', 'https://collaborate.princeton.edu/en/persons/chenyang-xu'], ['Charles Louis Fefferman', 'https://collaborate.princeton.edu/en/persons/charles-louis-fefferman'], ['Paul Seymour', 'https://collaborate.princeton.edu/en/persons/paul-douglas-seymour'], ['John Vincent Pardon', 'https://collaborate.princeton.edu/en/persons/john-vincent-pardon']]",https://collaborate.princeton.edu//files-asset/48142226/Aizenman.jpg,https://collaborate.princeton.edu/en/persons/michael-aizenman,[]
Joshua Akey,jakey,EEB,"[['Genome', '100%'], ['Genetic Variation', '81%'], ['Population', '79%'], ['Single Nucleotide Polymorphism', '65%'], ['Genes', '64%'], ['Neanderthals', '58%'], ['Hominidae', '57%'], ['Human Genome', '54%']]","[['Identification and interpretation of introgressed hominin DNA in modern human genomes', 'https://collaborate.princeton.edu/en/projects/identification-and-interpretation-of-introgressed-hominin-dna-in-'], ['Fossil Free Sequencing of Archaic Genomes', 'https://collaborate.princeton.edu/en/projects/fossil-free-sequencing-of-archaic-genomes']]","[['Population-scale tissue transcriptomics maps long non-coding RNAs to complex disease', 'https://collaborate.princeton.edu/en/publications/population-scale-tissue-transcriptomics-maps-long-non-coding-rnas'], ['A Quantitative Proteome Map of the Human Body', 'https://collaborate.princeton.edu/en/publications/a-quantitative-proteome-map-of-the-human-body'], ['A vast resource of allelic expression data spanning human tissues', 'https://collaborate.princeton.edu/en/publications/a-vast-resource-of-allelic-expression-data-spanning-human-tissues'], ['Cell type–specific genetic regulation of gene expression across human tissues', 'https://collaborate.princeton.edu/en/publications/cell-typespecific-genetic-regulation-of-gene-expression-across-hu'], ['Editorial overview: Evolutionary genomics – from molecular mechanisms to phenotypes to populations', 'https://collaborate.princeton.edu/en/publications/editorial-overview-evolutionary-genomics-from-molecular-mechanism']]",28383,61,"[['Barbara E Engelhardt', 'https://collaborate.princeton.edu/en/persons/barbara-e-engelhardt'], ['John D. Storey', 'https://collaborate.princeton.edu/en/persons/john-d-storey'], ['Bryan T. Grenfell', 'https://collaborate.princeton.edu/en/persons/bryan-t-grenfell'], ['Ned S. Wingreen', 'https://collaborate.princeton.edu/en/persons/ned-s-wingreen'], ['Simon Asher Levin', 'https://collaborate.princeton.edu/en/persons/simon-asher-levin'], ['Curtis Gove Callan', 'https://collaborate.princeton.edu/en/persons/curtis-gove-callan']]",https://collaborate.princeton.edu//files-asset/48142238/Akey.jpg,https://collaborate.princeton.edu/en/persons/joshua-akey,"['ISC 232', 'QCB 455', 'ISC 231', 'COS 551']"
Noga Mordechai Alon,nalon,MAT,"[['Graph in graph theory', '100%'], ['Subgraph', '34%'], ['Color', '31%'], ['Polynomials', '31%'], ['Hypergraph', '31%'], ['Vertex of a graph', '28%'], ['Coloring', '28%'], ['Random Graphs', '24%']]","[['Problems and Methods in Extremal Combinatorics', 'https://collaborate.princeton.edu/en/projects/problems-and-methods-in-extremal-combinatorics']]","[['2021 leroy p. Steele prizes', 'https://collaborate.princeton.edu/en/publications/2021-leroy-p-steele-prizes'], ['Explicit Expanders of Every Degree and Size', 'https://collaborate.princeton.edu/en/publications/explicit-expanders-of-every-degree-and-size'], ['Inverse problems for minimal complements and maximal supplements', 'https://collaborate.princeton.edu/en/publications/inverse-problems-for-minimal-complements-and-maximal-supplements']]",21162,71,"[['Paul Seymour', 'https://collaborate.princeton.edu/en/persons/paul-douglas-seymour'], ['Bernard Chazelle', 'https://collaborate.princeton.edu/en/persons/bernard-chazelle'], ['Assaf Naor', 'https://collaborate.princeton.edu/en/persons/assaf-naor'], ['Mark Braverman', 'https://collaborate.princeton.edu/en/persons/mark-braverman'], ['Jonathan D. Cohen', 'https://collaborate.princeton.edu/en/persons/jonathan-d-cohen'], ['Tom Griffiths', 'https://collaborate.princeton.edu/en/persons/tom-griffiths']]",https://collaborate.princeton.edu//files-asset/48142262/Alon_Noga_2017_cropped.jpg,https://collaborate.princeton.edu/en/persons/noga-mordechai-alon,[]
