id,name,department,email,website,keywords,room,advising
11,Ryan Adams,COS,rpa@cs.princeton.edu,https://www.cs.princeton.edu/~rpa/,nlp,Room 411,N
1,Andrew Appel,COS,appel@cs.princeton.edu,https://www.cs.princeton.edu/~appel/,"algorithms, theory",Room 209,N
2,Sanjeev Arora,COS,sa@cs.princeton.edu,https://www.cs.princeton.edu/~appel/,"ml, machine learning, theory",Room 209,Y
3,David August,COS,da@cs.princeton.edu,https://www.cs.princeton.edu/~appel/,nlp,Room 209,Y
4,Mark Braverman,COS,mb@cs.princeton.edu,https://www.cs.princeton.edu/~appel/,nlp,Room 209,Y
5,Bernard Chazelle,COS,bc@cs.princeton.edu,https://www.cs.princeton.edu/~appel/,nlp,Room 209,Y
6,Danqi Chen,COS,dc@cs.princeton.edu,https://www.cs.princeton.edu/~appel/,"nlp, deep learning",Room 209,Y
7,Jia Deng,COS,jd@cs.princeton.edu,https://www.cs.princeton.edu/~appel/,"nlp, cv",Room 209,Y
8,David Dobkin,COS,dd@cs.princeton.edu,https://www.cs.princeton.edu/~appel/,nlp,Room 209,N
9,Robert Dondero,COS,rd@cs.princeton.edu,https://www.cs.princeton.edu/~appel/,"cv, theory",Room 209,Y
10,Zeev Dvir,COS,zd@cs.princeton.edu,https://www.cs.princeton.edu/~appel/,"rl, dl",Room 209,Y
